ProduitID;ProduitDesc;GammeDesc;TypeProduitDesc
1;Parka doublée polaire;Enfant;Habillement
2;Porte brosse à dent;Salle de bain;Maison
3;Tabouret à vis;Cuisine;Maison
4;Sac Mike à large ouverture;Lunettes;Sport
5;Bouilloire électrique Htec;Equipement;Maison
6;Sac Reebrok polyester;Lunettes;Sport
7;Patère 3 têtes;Cuisine;Maison
8;Porte savon en métal chromé;Salle de bain;Maison
9;Four grill Htec;Equipement;Maison
10;Masque de SKI Rock;Lunettes;Sport
11;Groupe aspiration Best;Equipement;Maison
12;Jean doublé pilou;Enfant;Habillement
13;Blouson de SKI;Femme;Habillement
14;Sweat brand Adadas;Homme;Habillement
15;Armoirette 2 portes;Salle de bain;Maison
16;Polo manches courtes;Enfant;Habillement
17;Blouson imperméable et déperlant;Femme;Habillement
18;Survêtement aukland Adadas;Homme;Habillement
19;Chaise style ferme;Cuisine;Maison
20;Tee shirt brand Adadas;Homme;Habillement
21;Sweat bicolore;Enfant;Habillement
22;Chaussure court cup;Homme;Habillement
23;Sac monumental Adadas;Lunettes;Sport
24;Paire de poignées de force;Musculation;Sport
25;Rembobineur K7;HI-FI;Maison
26;Combinaison de SKI;Femme;Habillement
27;Pantalon style Battle dress;Enfant;Habillement
28;Blouson 4 bandes Adadas;Homme;Habillement
29;Balance électrique Htec;Equipement;Maison
30;Corde à sauter;Musculation;Sport
31;Parka trecking;Femme;Habillement
32;Short twill Adadas;Homme;Habillement
33;Adaptateur K7 VHS/VHS-C;HI-FI;Maison
34;Tablette 1/4 de rond;Salle de bain;Maison
35;Télécommande de remplacement;HI-FI;Maison
